date_sold,suburb,price,hedonic_price,hedonic_residual,hedonic_residual_pct,investment_score
2007-02-07,NORTHBRIDGE,570000.0,955588.2352941177,-385588.2352941177,-40.35087719298246,100
2007-02-07,ROSEVILLE,312000.0,537828.5714285715,-225828.57142857148,-41.988950276243095,100
2007-02-06,WILLOUGHBY,365000.0,523974.60937500006,-158974.60937500006,-30.34013605442178,100
2013-10-21,NORTH WILLOUGHBY,1150000.0,1689587.6589798448,-539587.6589798448,-31.936055883933367,100
2017-02-10,WILLOUGHBY,2300000.0,2839795.918367347,-539795.9183673472,-19.008264462809926,100
2013-10-19,WILLOUGHBY EAST,2313000.0,2871310.3448275863,-558310.3448275863,-19.444444444444446,100
2009-10-28,ROSEVILLE,418000.0,570730.7692307692,-152730.76923076925,-26.760563380281692,100
2007-02-05,WILLOUGHBY,425500.0,610825.1953125,-185325.1953125,-30.34013605442177,100
2017-02-28,ROSEVILLE,4250000.0,6183750.0,-1933750.0,-31.27147766323024,100
2007-03-10,WILLOUGHBY,2012000.0,4024000.0,-2012000.0,-50.0,100
2017-03-01,NORTHBRIDGE,915000.0,1285357.142857143,-370357.14285714296,-28.813559322033903,100
2013-10-19,ROSEVILLE CHASE,2200000.0,2595304.7404063204,-395304.74040632043,-15.231534634519706,100
2009-10-31,NORTHBRIDGE,1810000.0,2527097.4576271186,-717097.4576271186,-28.376327769347494,100
2009-10-31,ROSEVILLE,920000.0,1089807.1625344353,-169807.16253443528,-15.58139534883721,100
2009-10-31,WILLOUGHBY EAST,1760000.0,2299733.3333333335,-539733.3333333335,-23.469387755102044,100
2009-11-02,CASTLECRAG,1800000.0,2993212.669683258,-1193212.669683258,-39.863945578231295,100
2013-10-18,NORTHBRIDGE,2405000.0,3249062.5,-844062.5,-25.97864768683274,100
2017-03-11,CASTLECRAG,2585000.0,3821771.162974684,-1236771.162974684,-32.361204013377936,100
2009-11-03,WILLOUGHBY,570000.0,1085380.8353808355,-515380.83538083546,-47.483870967741936,100
2007-01-25,NORTHBRIDGE,945000.0,1271515.3301886793,-326515.3301886793,-25.679228746713413,100
2007-01-23,NORTH WILLOUGHBY,405000.0,686221.875,-281221.875,-40.98118775359646,100
2017-03-14,ROSEVILLE,137637.0,275274.0,-137637.0,-50.0,100
2007-01-22,WILLOUGHBY,368000.0,736000.0,-368000.0,-50.0,100
2007-02-12,ROSEVILLE CHASE,935000.0,1264158.1632653063,-329158.16326530627,-26.037735849056613,100
2017-01-20,ROSEVILLE,19500000.0,35417024.5398773,-15917024.539877303,-44.94173281540281,100
2007-02-14,WILLOUGHBY EAST,662000.0,779502.7359781122,-117502.7359781122,-15.074063316874822,100
2013-10-29,ROSEVILLE,1200000.0,1688064.1925777334,-488064.1925777334,-28.912655971479513,100
2016-11-25,NORTHBRIDGE,15500.0,25971.374045801527,-10471.374045801527,-40.31890660592255,100
2007-03-09,WILLOUGHBY,415000.0,830000.0,-415000.0,-50.0,100
2007-03-09,CASTLECRAG,1365000.0,1611796.875,-246796.875,-15.311909262759924,100
2007-03-07,NORTHBRIDGE,1550000.0,1924630.996309963,-374630.99630996305,-19.465081723625556,100
2007-03-02,NORTH WILLOUGHBY,421000.0,842000.0,-421000.0,-50.0,100
2009-10-16,NORTHBRIDGE,4100.0,5322.645739910314,-1222.6457399103138,-22.970639032815196,100
2007-02-28,NORTH WILLOUGHBY,347500.0,541000.0,-193500.0,-35.76709796672828,100
2009-10-19,MIDDLE COVE,400000.0,543225.8064516129,-143225.80645161285,-26.365795724465553,100
2016-12-01,NORTHBRIDGE,1850000.0,2821608.5271317833,-971608.5271317833,-34.43456162642949,100
2009-10-20,NORTHBRIDGE,2125000.0,2505540.780141844,-380540.78014184395,-15.187969924812029,100
2007-02-26,WILLOUGHBY,310000.0,620000.0,-310000.0,-50.0,100
2013-11-01,CASTLECRAG,1600000.0,1956756.7567567567,-356756.7567567567,-18.232044198895025,100
2016-12-09,ROSEVILLE CHASE,935000.0,1210983.0917874398,-275983.0917874398,-22.790003729951522,100
2009-10-21,NORTHBRIDGE,1550000.0,1830413.1054131053,-280413.10541310534,-15.319662243667064,100
2016-12-17,NORTHBRIDGE,1100000.0,1710000.0,-610000.0,-35.67251461988304,100
2007-02-23,WILLOUGHBY,310000.0,620000.0,-310000.0,-50.0,100
2013-10-31,NORTHBRIDGE,1170000.0,1815140.1869158878,-645140.1869158878,-35.54216867469879,100
2013-10-29,CASTLECRAG,1550000.0,1987013.888888889,-437013.888888889,-21.993499458288195,100
2007-02-20,NORTHBRIDGE,512000.0,730797.1223021583,-218797.12230215827,-29.939516129032256,100
2009-10-22,CASTLECRAG,970000.0,1213288.617886179,-243288.6178861789,-20.0519987000325,100
2017-01-04,CASTLE COVE,3250000.0,4101190.4761904757,-851190.4761904757,-20.754716981132066,100
2017-01-04,WILLOUGHBY,2058000.0,2525727.272727273,-467727.27272727294,-18.518518518518526,100
2009-10-23,ROSEVILLE,880000.0,1351428.5714285714,-471428.57142857136,-34.883720930232556,100
2007-02-16,ROSEVILLE,471000.0,942000.0,-471000.0,-50.0,100
2017-01-12,CASTLECRAG,52777.0,72083.29227941178,-19306.292279411777,-26.783310901749672,100
2007-02-14,NORTHBRIDGE,8000000.0,12514285.714285715,-4514285.714285715,-36.073059360730596,100
2017-01-20,ROSEVILLE,19500000.0,37000000.00000001,-17500000.000000007,-47.297297297297305,100
2006-09-13,NORTHBRIDGE,1210000.0,1749730.2904564315,-539730.2904564315,-30.846484935437584,100
2006-09-13,WILLOUGHBY,765000.0,1005000.0,-240000.0,-23.88059701492537,100
2009-12-22,NORTHBRIDGE,850000.0,1700000.0,-850000.0,-50.0,100
2018-02-15,ROSEVILLE,700000.0,1022977.1551899662,-322977.1551899662,-31.572274468826194,100
2006-03-06,ROSEVILLE,938000.0,1241232.7586206896,-303232.7586206896,-24.429967426710096,100
2006-03-03,ROSEVILLE,535247.0,1070494.0,-535247.0,-50.0,100
2010-04-29,WILLOUGHBY,615000.0,819240.7407407408,-204240.7407407408,-24.93049119555144,100
2006-03-01,NORTH WILLOUGHBY,400000.0,608344.0860215054,-208344.0860215054,-34.24773755656109,100
2018-02-01,ROSEVILLE,1690000.0,2228978.6967418543,-538978.6967418543,-24.180522565320654,100
2006-02-25,ROSEVILLE,852000.0,1270000.0,-418000.0,-32.91338582677165,100
2010-04-30,ROSEVILLE,1580000.0,2386654.054054054,-806654.054054054,-33.79853283234925,100
2010-04-30,WILLOUGHBY EAST,276666.0,410275.43414634146,-133609.43414634146,-32.56578947368421,100
2010-04-30,CASTLECRAG,1485000.0,1840703.5175879397,-355703.51758793974,-19.324324324324326,100
2006-02-23,WILLOUGHBY,900000.0,1082517.4825174825,-182517.48251748248,-16.860465116279066,100
2006-02-22,NORTHBRIDGE,355000.0,710000.0,-355000.0,-50.0,100
2010-04-30,ROSEVILLE,1075000.0,1881250.0,-806250.0,-42.857142857142854,100
2013-08-28,NORTHBRIDGE,1185000.0,1644780.0,-459780.0,-27.953890489913547,100
2006-02-17,ROSEVILLE,880000.0,1426551.3513513515,-546551.3513513515,-38.31277092364122,100
2010-04-28,ROSEVILLE,1040000.0,1646203.2085561496,-606203.2085561496,-36.82432432432432,100
2006-02-14,CHATSWOOD,353000.0,484114.28571428574,-131114.28571428574,-27.083333333333336,100
2006-02-10,MIDDLE COVE,824000.0,1032140.2597402597,-208140.25974025973,-20.16588906168999,100
2010-05-03,CASTLECRAG,975000.0,1899277.4566473989,-924277.4566473989,-48.6646884272997,100
2006-02-07,ROSEVILLE,605000.0,1074533.596096096,-469533.5960960961,-43.69650216633203,100
2006-02-06,NORTHBRIDGE,345000.0,690000.0,-345000.0,-50.0,100
2006-02-06,NORTHBRIDGE,346000.0,692000.0,-346000.0,-50.0,100
2018-02-17,NORTHBRIDGE,2885000.0,3910567.921440262,-1025567.9214402619,-26.225549384206715,100
2018-02-19,WILLOUGHBY,1930000.0,2391502.519468621,-461502.5194686209,-19.297597042513853,100
2013-08-26,ROSEVILLE,325000.0,421388.88888888893,-96388.88888888893,-22.874093605800933,100
2006-02-05,NORTHBRIDGE,531000.0,993611.3202533327,-462611.3202533327,-46.558579881656804,100
2006-02-03,NORTHBRIDGE,499000.0,914246.2745098039,-415246.27450980386,-45.419520547945204,100
